Name	Set	ImageFile	Cost_Influence	Type	SubType	Diplomacy	Intrigue	Psi	Leadership	Military	Marks	Rarity	Fixeds	Collector	Text
Burnt From Both Ends	Psi_Corps	05-028	  	Event		  	  	  	  	  		Common		05-028 C2	Neutralize a target character who you control. You may restore influence from your applied influence to your available influence, up to the printed influence cost of the target character.
Burnt Out	Psi_Corps	05-029	  	Aftermath	Lost Psi	  	  	  	  	  	Doom	Common		05-029 C2	Target a non-ambassador participant character. Target's controller can no longer use the target for any actions. The target gains a Doom Mark. Discard this aftermath if the target has no Doom Marks.
Byron	Psi_Corps	05-030	10	Character	Neutral	2	1	11	  	  	Doom	Rare 2		05-030 R2	Byron cannot become a Psi Corps character. No faction with a Psi Cop can sponsor Byron, and Byron's faction cannot sponsor Psi Cops. While supporting a conflict, other characters supporting the same conflict suffer half damage when attacked. While opposing a conflict, other characters opposing the same conflict suffer half damage when attacked.
Cease-Fire	Psi_Corps	05-031	  	Conflict	Diplomacy	  	  	  	  	  		Common		05-031 C2	Target another player. If successful, neither of you may initiate a Military conflict that targets the other next turn. For each 10 by which this conflict succeeds, extend the duration of this effect by one turn.
Centauri Festival	Psi_Corps	05-032	  	Contingency	Centauri Character	  	  	  	  	  		Uncommon		05-032 U2	Reveal after a successful Babylon 5 vote. Reduce the tension of all other races toward the Centauri by 1.
Challenge Psi Corps	Psi_Corps	05-033	  	Agenda		  	  	  	  	  		Uncommon		05-033 U2	While this is your agenda, immediately discard any Psi Corps cards you control. Your cost to sponsor and promote teeps is reduced by 2. Every teep you control gains 1 point of damage resistance for each teep in your Inner Circle. This damage resistance is usable only when attacking or being attacked by teeps. Count each 10 Psi you have from ready characters you control as +1 power.
Chen Hikaru	Psi_Corps	05-034	4	Character	Human	  	1	5	  	  	Doom	Fixed	PsiCorps	05-034 F2	Psi Corps Character. When Chen Hikaru participates in a conflict, your ambassador suffers damage equal to Chen Hikaru's Doom Marks.
Come Join Us	Psi_Corps	05-035	  	Agenda		  	  	  	  	  		Fixed	PsiCorps	05-035 F2	Rotate to initiate a Psi Conflict targeting another agenda in play. Intrigue may be used to oppose this conflict. If successful, the agenda gains a Conspiracy Mark (which it confers to that faction's ambassador). Any agenda that gives a bonus to power gives you the same gain of power that it gives to its controller, up to a limit equal to the number of Conspiracy Marks on such an agenda. 
Commercial Telepaths [Ps]	Psi_Corps	05-036	6	Group		  	  	  	  	  		Fixed		05-036 F2	Multiple.  Rotate this group and target a character who is not targeted by Commercial Telepaths.  That character gains a bonus to his Diplomacy equal to half his Psi, rounded up, while this group remains rotated.
Conspiracy!	Psi_Corps	05-037	1	Event		  	  	  	  	  		Common		05-037 C2	Target character you control gains a Conspiracy Mark. You may look at one randomly-selected card in another player's hand.
Continued Progress	Psi_Corps	05-038	5	Event		  	  	  	  	  		Uncommon		05-038 U2	If only one player wins a conflict next turn, he gains +1 influence during that turn's draw round.
Convene the Grey Council	Psi_Corps	05-039	1	Event		  	  	  	  	  		Rare 2		05-039 R2	Each player may rotate any number of Grey Council Members who he controls when this card is played. If the number of Grey Council members who rotate is higher than the highest Minbari unrest level, reduce the unrest of all Minbari players by 1.
Cyborg Reconstruction	Psi_Corps	05-040	4	Enhancement	Character	  	  	  	  	  		Rare 2		05-040 R2	Irrevocable. Target a non-Unique supporting character you control. When you sponsor this card, you may reduce any one of the target's base abilities to raise another non-zero base ability by an equal amount. Each Ready Round, place a damage token on the character. This damage cannot be healed in any way. If the target is neutralized, remove him from the game. This enhancement cannot be targeted by events.
Cynthia & Rosa	Psi_Corps	05-041	7	Character	Neutral	1	  	5	  	  		Uncommon		05-041 U2	Cynthia & Rosa's abilities are not reduced by damage, unless the damage is enough to neutralize this character.
Danger Sense	Psi_Corps	05-042	  	Contingency	Character	  	  	  	  	  		Fixed	PsiCorps	05-042 F2	Play on a teep.  Reveal when this teep is attacked. No damage is applied (to either participant). (The attacker remains rotated.)
Dark Talia	Psi_Corps	05-043	7	Character	Human	1	3	8	  	  	Strife	Rare 2		05-043 R2	Psi Corps Character. Requires 3 Conspiracy Marks to bring into play. May replace Talia Winters. Remove Talia Winters from the game (she may not re-enter play). While attacking characters in any faction that ever controlled Talia Winters, Dark Talia's Strife Marks count double.
David	Psi_Corps	05-044	5	Character	Neutral	2	  	4	  	  		Common		05-044 C2	David many only participate in conflicts  initiated by you, or that target you or a card in your faction.
Diplomatic Recognition	Psi_Corps	05-045	1	Enhancement	Global	  	  	  	  	  		Common		05-045 C2	Any player may rotate this card and target a location loyal to a race other than the race of the faction that controls it to call a Babylon 5 vote.  If the vote is successful, Babylon 5 gains 1 influence and the location becomes loyal to the race that currently controls it, allowing its game text to be used as normal. (It retains its new loyalty even if re-conquered by another race.)
Direct Link	Psi_Corps	05-046	  	Contingency	Character	  	  	  	  	  		Common		05-046 C2	Play on a teep.  Reveal when this teep takes damage. You may have another unneutralized teep who you control take the damage instead.
Divide and Conquer	Psi_Corps	05-047	  	Conflict	Psi	  	  	  	  	  		Uncommon		05-047 U2	Target another player. Diplomacy may be used to oppose this conflict. If successful, for every 5 you win by, you may apply 1 extra influence next turn, and the target must apply 1 influence for no effect during next turn's Ready Round.
Don't You Trust Me?	Psi_Corps	05-048	  	Conflict	Diplomacy	  	  	  	  	  		Common		05-048 C2	Designate another player as your partner in this conflict. If successful, your partner must choose either that you and he each gain +1 influence, or that you lose 1 influence. No additional influence may be gained from this conflict by any means (e.g., Aftermaths, Locations, Contingencies, etc.).
Doomed Conspiracy	Psi_Corps	05-049	  	Conflict	Intrigue	  	  	  	  	  		Rare 2		05-049 R2	Target another faction that has Conspiracy Marks. If successful, each character in that faction gains a number of Doom Marks equal to that character's number of Conspiracy Marks.
Drop Your Barriers	Psi_Corps	05-050	5	Enhancement	Faction	  	  	  	  	  		Fixed	PsiCorps	05-050 F2	Rotate this enhancement and target a teep you control with Psi of 7 or higher.The target applies 4 additional support/opposition when he uses Psi to support or oppose a conflict, but he also takes 2 extra damage when attacked using Psi. You may sustain this effect.
Dust	Psi_Corps	05-051	10	Event		  	  	  	  	  		Common		05-051 C2	Target a character you control. For the rest of the turn, the target character gains +6 Psi. (This bonus does apply to characters with 0 Psi.) Characters who started the turn at 0 Psi are permanently returned to 0 Psi at the end of the turn. Neutralize the character at the end of the turn.
Earth	Psi_Corps	05-052	10	Location	Human	  	  	  	  	15		Fixed	Human	05-052 F2	Human Homeworld.   Location's Military may only be used to oppose conflicts targeting this location.  Whenever you gain influence from a conflict, rotate this location to gain +1 additional influence.
Ego Boost	Psi_Corps	05-053	1	Event		  	  	  	  	  		Common		05-053 C2	Target teep gains +2 Psi for the rest of the turn. He gains an additional +1 Psi for each Conspiracy Mark he has.
Elite Black Omega	Psi_Corps	05-054	6	Fleet	Human	  	  	  	  	2		Rare 2		05-054 R2	Psi Corps Fleet. May only be led by a teep. Elite Black Omega may participate in Psi conflicts and Intrigue conflicts (using Military). Elite Black Omega has damage resistance equal to its leader's Conspiracy Marks.
Empathy	Psi_Corps	05-055	  	Conflict	Psi	  	  	  	  	  		Fixed	PsiCorps	05-055 F2	Target a non-ambassador character.  If successful, this conflict becomes an aftermath on the target with 1 Empathy Counter for every 10 points by which you won.  As an action, you may remove an Empathy Counter to rotate the character for no effect. If there are no Empathy Counters on this card, discard it.
Exercises of The Mind	Psi_Corps	05-056	  	Aftermath	Psi Participant	  	  	  	  	  		Fixed	PsiCorps	05-056 F2	Target participant teep gains +2 Psi.
Expanded Network	Psi_Corps	05-057	  	Event		  	  	  	  	  		Fixed	PsiCorps	05-057 F2	Target a supporting character who you control, loyal to your race, who has a Conspiracy Mark. Promote the target to your Inner Circle by applying its printed influence cost.
Expendable	Psi_Corps	05-058	1	Event		  	  	  	  	  		Uncommon		05-058 U2	Target a neutralized Inner Circle character with Conspiracy Marks. You may neutralize and discard a supporting character (who you control) loyal to your race to completely heal, unneutralize, and ready the target character.
Exposed	Psi_Corps	05-059	  	Conflict	Psi	  	  	  	  	  		Common		05-059 C2	Target another player. Diplomacy and Intrigue may be used to oppose this conflict.  If successful, the target must win a conflict in the next two turns, or his agenda is discarded (including a Major Agenda).
Forget Something?	Psi_Corps	05-060	  	Conflict	Psi	  	  	  	  	  		Rare 2		05-060 R2	Target another player's non-major Agenda that could be discarded. If you win by 5 or more, return that agenda to its controller's deck. Reshuffle that deck.
Front Page Exposure	Psi_Corps	05-061	  	Aftermath	Lost	  	  	  	  	  		Uncommon		05-061 U2	Rotate a Media card you control and target a faction with a Conspiracy Mark. Raise the Unrest of the target by +1. If the conflict failed by 10 or more raise the target's Unrest by an additional +1. (Discard this aftermath after play.)
Gestalt	Psi_Corps	05-062	1	Event		  	  	  	  	  		Rare 2		05-062 R2	Limited. Target a conflict. For the rest of the turn, all unneutralized non-Psi Corps teeps opposing the conflict are members of the Gestalt. Whenever a member of the Gestalt is attacked, reduce the amount of damage inflicted by the attacker by 1 for each member of the Gestalt. You may then distribute the damage however you wish among the members of the Gestalt.
Good to Go	Psi_Corps	05-063	1	Event		  	  	  	  	  		Uncommon		05-063 U2	Rotate a location you control to ready a fleet you control. The effect of the fleet's action is not canceled. It may not participate in the same conflict more than once this turn.
Gordon	Psi_Corps	05-064	6	Character	Human	2	  	4	  	  		Fixed	PsiCorps	05-064 F2	Psi Corps Character. Media. Gordon may only be attacked by Psi Corps characters. Gordon gains +2 Diplomacy and +2 Psi while participating in a conflict that targets a non-Psi Corps teep.
Greed	Psi_Corps	05-065	5	Enhancement	Character	  	  	  	  	  		Uncommon		05-065 U2	Target a Neutral Character with no Destiny Marks. The target gains the text Mercenary. The target cannot attack. Discard this enhancement if the target is an Inner Circle character.
